defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,cluster
1,15,Structural,6/6/2024,Component,Minor,Visual Inspection,245.47,1
2,6,Functional,4/26/2024,Component,Minor,Visual Inspection,26.87,1
3,84,Structural,2/15/2024,Internal,Minor,Automated Testing,835.81,3
4,10,Functional,3/28/2024,Internal,Critical,Automated Testing,444.47,3
5,14,Cosmetic,4/26/2024,Component,Minor,Manual Testing,823.64,0
6,17,Functional,5/11/2024,Internal,Moderate,Visual Inspection,788.11,5
7,85,Cosmetic,5/23/2024,Internal,Critical,Manual Testing,33.68,0
8,90,Structural,1/15/2024,Internal,Moderate,Manual Testing,65.56,4
9,30,Structural,1/26/2024,Component,Critical,Manual Testing,848.61,4
10,20,Structural,6/5/2024,Component,Critical,Visual Inspection,478.48,1
11,45,Structural,4/28/2024,Surface,Moderate,Automated Testing,217.96,6
12,86,Structural,2/25/2024,Component,Minor,Manual Testing,485.02,4
13,87,Cosmetic,6/20/2024,Component,Minor,Visual Inspection,714.63,1
14,72,Cosmetic,5/8/2024,Surface,Critical,Manual Testing,603.94,0
15,74,Cosmetic,5/3/2024,Component,Critical,Manual Testing,189.55,0
16,10,Functional,1/20/2024,Component,Minor,Automated Testing,458.79,2
17,53,Structural,5/14/2024,Internal,Minor,Visual Inspection,509.35,4
18,63,Cosmetic,5/21/2024,Component,Critical,Visual Inspection,538.99,1
19,28,Functional,2/15/2024,Internal,Critical,Manual Testing,34.93,5
20,81,Structural,5/25/2024,Internal,Moderate,Manual Testing,557.11,4
21,67,Functional,5/3/2024,Surface,Minor,Visual Inspection,831.43,5
22,6,Structural,3/6/2024,Surface,Minor,Visual Inspection,504.9,4
23,33,Structural,5/6/2024,Surface,Moderate,Automated Testing,349.23,6
24,15,Structural,2/23/2024,Component,Critical,Visual Inspection,560.39,1
25,13,Cosmetic,2/19/2024,Surface,Moderate,Manual Testing,629.71,0
26,39,Structural,6/15/2024,Component,Moderate,Visual Inspection,975.44,1
27,60,Cosmetic,5/8/2024,Component,Moderate,Manual Testing,737.54,0
28,42,Structural,1/2/2024,Component,Critical,Manual Testing,592.87,4
29,3,Structural,1/13/2024,Component,Moderate,Automated Testing,99.82,2
30,17,Functional,1/22/2024,Surface,Critical,Visual Inspection,106.34,5
31,30,Structural,4/30/2024,Surface,Critical,Automated Testing,352.58,6
32,25,Structural,3/29/2024,Surface,Moderate,Visual Inspection,734.12,4
33,14,Cosmetic,5/15/2024,Internal,Minor,Visual Inspection,953.54,0
34,58,Structural,6/19/2024,Surface,Critical,Manual Testing,753.89,4
35,48,Functional,4/4/2024,Component,Critical,Automated Testing,955.91,2
36,20,Structural,6/4/2024,Surface,Critical,Automated Testing,776.91,6
37,68,Cosmetic,1/20/2024,Internal,Critical,Manual Testing,607.96,0
38,51,Functional,6/8/2024,Internal,Moderate,Automated Testing,107.7,3
39,12,Functional,6/25/2024,Internal,Critical,Manual Testing,27.24,5
40,92,Cosmetic,1/6/2024,Surface,Critical,Visual Inspection,370.83,0
41,63,Functional,3/11/2024,Component,Minor,Manual Testing,526.08,5
42,49,Functional,5/18/2024,Surface,Critical,Automated Testing,144.38,6
43,72,Cosmetic,3/23/2024,Surface,Moderate,Visual Inspection,534.33,0
44,24,Structural,5/18/2024,Surface,Minor,Visual Inspection,456.8,4
45,64,Functional,5/27/2024,Surface,Minor,Automated Testing,215.01,6
46,36,Structural,4/24/2024,Surface,Moderate,Manual Testing,824.3,4
47,79,Structural,2/14/2024,Component,Critical,Manual Testing,769.28,4
48,36,Structural,1/3/2024,Component,Moderate,Manual Testing,160.25,4
49,65,Functional,2/24/2024,Component,Minor,Automated Testing,386.17,2
50,9,Functional,1/6/2024,Component,Moderate,Manual Testing,572.08,5
51,10,Structural,6/26/2024,Internal,Minor,Visual Inspection,433.85,4
52,7,Structural,5/19/2024,Surface,Minor,Manual Testing,338.1,4
53,81,Functional,1/3/2024,Surface,Critical,Automated Testing,93.13,6
54,62,Cosmetic,5/14/2024,Component,Moderate,Visual Inspection,308.37,1
55,29,Structural,3/23/2024,Internal,Critical,Automated Testing,396.58,3
56,73,Structural,1/19/2024,Surface,Minor,Automated Testing,957.6,6
57,86,Structural,3/6/2024,Internal,Moderate,Automated Testing,205.19,3
58,5,Cosmetic,5/25/2024,Component,Critical,Manual Testing,300.27,0
59,79,Structural,3/10/2024,Internal,Critical,Automated Testing,671.22,3
60,87,Functional,2/18/2024,Surface,Minor,Visual Inspection,395.1,5
61,60,Structural,6/11/2024,Component,Critical,Visual Inspection,675.89,1
62,43,Cosmetic,3/8/2024,Component,Moderate,Visual Inspection,523.02,1
63,52,Structural,1/2/2024,Surface,Critical,Manual Testing,337.5,4
64,2,Cosmetic,1/11/2024,Surface,Minor,Automated Testing,830.89,6
65,22,Functional,4/16/2024,Component,Critical,Visual Inspection,84.97,1
66,31,Functional,5/24/2024,Internal,Minor,Visual Inspection,771.96,5
67,87,Functional,3/15/2024,Internal,Minor,Automated Testing,46.43,3
68,11,Cosmetic,4/16/2024,Internal,Minor,Automated Testing,31.91,3
69,33,Cosmetic,5/19/2024,Component,Moderate,Automated Testing,845.8,2
70,17,Functional,2/19/2024,Component,Minor,Manual Testing,729.55,5
71,71,Cosmetic,3/5/2024,Surface,Moderate,Automated Testing,187.03,6
72,35,Structural,6/29/2024,Component,Moderate,Automated Testing,470.35,2
73,15,Functional,5/20/2024,Internal,Minor,Visual Inspection,662.35,5
74,43,Functional,4/4/2024,Component,Critical,Visual Inspection,509.97,1
75,2,Functional,1/3/2024,Component,Critical,Manual Testing,352.33,5
76,36,Functional,3/27/2024,Surface,Minor,Manual Testing,228.22,5
77,64,Functional,2/6/2024,Component,Critical,Manual Testing,632.45,5
78,28,Functional,6/20/2024,Component,Critical,Automated Testing,975.87,2
79,69,Structural,3/23/2024,Internal,Moderate,Visual Inspection,967.14,4
80,75,Structural,1/11/2024,Surface,Moderate,Automated Testing,992.69,6
81,69,Functional,3/14/2024,Surface,Minor,Manual Testing,827.74,5
82,74,Structural,4/2/2024,Component,Critical,Automated Testing,270.97,2
83,69,Structural,4/11/2024,Surface,Critical,Visual Inspection,712.98,4
84,11,Structural,6/24/2024,Component,Critical,Manual Testing,556.05,4
85,92,Structural,4/27/2024,Component,Minor,Manual Testing,200.11,4
86,70,Structural,1/14/2024,Component,Moderate,Automated Testing,660.05,2
87,22,Structural,1/21/2024,Component,Moderate,Manual Testing,220.96,4
88,9,Functional,2/9/2024,Component,Critical,Visual Inspection,776.54,1
89,6,Functional,5/1/2024,Surface,Moderate,Visual Inspection,920.26,5
90,58,Structural,2/17/2024,Internal,Moderate,Visual Inspection,492.22,4
91,98,Cosmetic,3/7/2024,Surface,Critical,Manual Testing,513.45,0
92,93,Functional,6/30/2024,Component,Moderate,Automated Testing,286.28,2
93,10,Functional,4/1/2024,Surface,Minor,Automated Testing,698.89,6
94,72,Cosmetic,2/2/2024,Internal,Critical,Visual Inspection,555.25,0
95,36,Cosmetic,5/16/2024,Component,Moderate,Manual Testing,465.92,0
96,11,Structural,3/8/2024,Component,Critical,Manual Testing,732.13,4
97,56,Structural,3/15/2024,Component,Moderate,Automated Testing,582.46,2
98,67,Cosmetic,3/10/2024,Component,Moderate,Visual Inspection,647.7,1
99,67,Structural,4/8/2024,Component,Critical,Visual Inspection,536.57,1
100,8,Functional,4/24/2024,Surface,Minor,Visual Inspection,673.85,5
101,27,Structural,1/25/2024,Internal,Minor,Manual Testing,871.1,4
102,79,Structural,6/25/2024,Internal,Critical,Visual Inspection,973.66,4
103,87,Functional,5/31/2024,Internal,Critical,Visual Inspection,787.42,5
104,1,Structural,6/25/2024,Surface,Minor,Manual Testing,338.48,4
105,49,Structural,4/30/2024,Component,Critical,Visual Inspection,922.07,1
106,9,Functional,5/14/2024,Surface,Moderate,Manual Testing,137.41,5
107,63,Structural,6/28/2024,Surface,Critical,Automated Testing,17.89,6
108,97,Cosmetic,1/26/2024,Surface,Moderate,Manual Testing,210.3,0
109,1,Cosmetic,2/22/2024,Component,Critical,Automated Testing,978.5,2
110,44,Functional,3/5/2024,Surface,Minor,Visual Inspection,381.15,5
111,27,Structural,5/6/2024,Component,Moderate,Manual Testing,302.42,4
112,9,Cosmetic,1/12/2024,Component,Minor,Automated Testing,813.46,2
113,67,Cosmetic,4/8/2024,Surface,Minor,Automated Testing,998.27,6
114,83,Functional,1/25/2024,Component,Critical,Manual Testing,498.47,5
115,66,Functional,4/30/2024,Internal,Moderate,Visual Inspection,362.23,5
116,36,Cosmetic,1/9/2024,Internal,Critical,Visual Inspection,194.79,0
117,64,Cosmetic,1/11/2024,Surface,Moderate,Visual Inspection,677.65,0
118,66,Structural,4/10/2024,Surface,Critical,Manual Testing,310.8,4
119,99,Structural,3/5/2024,Surface,Minor,Visual Inspection,717.21,4
120,80,Functional,3/8/2024,Component,Critical,Manual Testing,641.58,5
121,86,Structural,6/9/2024,Internal,Minor,Manual Testing,520.84,4
122,51,Structural,4/16/2024,Surface,Critical,Manual Testing,271.18,4
123,79,Cosmetic,2/4/2024,Internal,Minor,Manual Testing,657.81,0
124,100,Functional,3/27/2024,Internal,Moderate,Manual Testing,620.66,5
125,86,Cosmetic,3/10/2024,Surface,Critical,Visual Inspection,533.03,0
126,29,Structural,2/1/2024,Surface,Minor,Visual Inspection,21.77,4
127,68,Cosmetic,5/19/2024,Surface,Minor,Manual Testing,302.22,0
128,92,Cosmetic,3/2/2024,Internal,Moderate,Automated Testing,895.38,3
129,14,Cosmetic,6/20/2024,Surface,Critical,Visual Inspection,241.61,0
130,72,Cosmetic,4/6/2024,Internal,Critical,Automated Testing,878.46,3
131,61,Functional,5/15/2024,Internal,Critical,Visual Inspection,268.08,5
132,63,Structural,4/23/2024,Surface,Critical,Visual Inspection,492.32,4
133,86,Structural,3/20/2024,Surface,Moderate,Manual Testing,379.78,4
134,98,Cosmetic,2/3/2024,Surface,Moderate,Visual Inspection,498.71,0
135,61,Cosmetic,2/15/2024,Internal,Moderate,Automated Testing,379.01,3
136,67,Functional,2/21/2024,Internal,Minor,Automated Testing,79.52,3
137,2,Functional,4/19/2024,Internal,Critical,Automated Testing,602.25,3
138,11,Structural,3/5/2024,Component,Critical,Automated Testing,575.71,2
139,58,Cosmetic,6/24/2024,Surface,Critical,Visual Inspection,760.33,0
140,68,Functional,4/4/2024,Internal,Critical,Manual Testing,955.54,5
141,28,Cosmetic,1/6/2024,Internal,Minor,Visual Inspection,679.88,0
142,63,Structural,3/25/2024,Internal,Critical,Visual Inspection,71.91,4
143,100,Functional,5/27/2024,Internal,Moderate,Manual Testing,916.79,5
144,45,Cosmetic,6/18/2024,Internal,Moderate,Manual Testing,558.34,0
145,25,Structural,1/16/2024,Internal,Minor,Manual Testing,23.02,4
146,43,Cosmetic,4/26/2024,Internal,Minor,Visual Inspection,346.23,0
147,45,Structural,4/5/2024,Internal,Critical,Automated Testing,926.31,3
148,84,Cosmetic,1/29/2024,Internal,Critical,Automated Testing,783.88,3
149,41,Cosmetic,1/25/2024,Surface,Moderate,Automated Testing,747.18,6
150,53,Functional,3/22/2024,Surface,Critical,Manual Testing,415.84,5
151,61,Structural,6/7/2024,Component,Minor,Visual Inspection,502.15,1
152,97,Structural,1/27/2024,Internal,Moderate,Manual Testing,94.7,4
153,63,Cosmetic,1/9/2024,Surface,Minor,Manual Testing,426.04,0
154,75,Cosmetic,5/3/2024,Surface,Moderate,Automated Testing,380.52,6
155,10,Structural,1/24/2024,Component,Minor,Visual Inspection,935.64,1
156,56,Functional,5/21/2024,Internal,Minor,Manual Testing,595.9,5
157,96,Functional,5/7/2024,Surface,Minor,Manual Testing,788.22,5
158,96,Functional,1/16/2024,Surface,Critical,Visual Inspection,465.74,5
159,77,Structural,5/19/2024,Internal,Moderate,Automated Testing,661.8,3
160,91,Structural,5/17/2024,Surface,Moderate,Manual Testing,532.77,4
161,56,Cosmetic,5/21/2024,Component,Minor,Visual Inspection,612.03,1
162,56,Functional,2/9/2024,Component,Moderate,Manual Testing,614.11,5
163,12,Cosmetic,1/30/2024,Surface,Minor,Manual Testing,238.39,0
164,6,Structural,4/20/2024,Internal,Minor,Visual Inspection,986.51,4
165,30,Cosmetic,5/6/2024,Component,Critical,Automated Testing,796.76,2
166,34,Functional,2/15/2024,Component,Minor,Visual Inspection,105.27,1
167,99,Cosmetic,1/27/2024,Surface,Moderate,Automated Testing,950.97,6
168,14,Structural,6/29/2024,Surface,Critical,Visual Inspection,517.41,4
169,70,Cosmetic,6/3/2024,Surface,Critical,Manual Testing,789.62,0
170,4,Functional,5/16/2024,Internal,Moderate,Visual Inspection,942.03,5
171,74,Cosmetic,4/26/2024,Surface,Moderate,Manual Testing,352.05,0
172,25,Cosmetic,1/2/2024,Component,Critical,Automated Testing,10.22,2
173,74,Cosmetic,3/29/2024,Component,Moderate,Automated Testing,932.23,2
174,51,Functional,5/29/2024,Surface,Critical,Automated Testing,715.22,6
175,6,Structural,2/19/2024,Internal,Moderate,Manual Testing,999.64,4
176,13,Structural,3/9/2024,Surface,Critical,Manual Testing,952.49,4
177,34,Structural,1/21/2024,Internal,Minor,Manual Testing,174.76,4
178,51,Functional,1/17/2024,Internal,Minor,Visual Inspection,755.15,5
179,44,Structural,4/23/2024,Surface,Moderate,Automated Testing,532.6,6
180,64,Structural,1/7/2024,Component,Minor,Manual Testing,854.25,4
181,91,Functional,2/29/2024,Internal,Minor,Automated Testing,383.83,3
182,80,Functional,1/27/2024,Internal,Moderate,Manual Testing,80.0,5
183,8,Structural,2/2/2024,Component,Critical,Visual Inspection,970.31,1
184,14,Functional,2/9/2024,Internal,Moderate,Visual Inspection,517.63,5
185,64,Structural,1/15/2024,Surface,Moderate,Automated Testing,81.33,6
186,21,Structural,3/29/2024,Component,Critical,Manual Testing,540.92,4
187,13,Cosmetic,4/27/2024,Internal,Critical,Visual Inspection,280.77,0
188,56,Structural,6/2/2024,Internal,Moderate,Automated Testing,87.28,3
189,95,Cosmetic,2/23/2024,Surface,Minor,Manual Testing,306.56,0
190,4,Functional,6/22/2024,Surface,Critical,Automated Testing,86.46,6
191,80,Cosmetic,1/12/2024,Surface,Critical,Manual Testing,13.03,0
192,95,Functional,3/21/2024,Component,Critical,Visual Inspection,525.07,1
193,28,Cosmetic,5/21/2024,Component,Critical,Manual Testing,219.71,0
194,1,Structural,3/3/2024,Component,Critical,Visual Inspection,192.21,1
195,17,Structural,2/18/2024,Component,Moderate,Automated Testing,924.13,2
196,18,Structural,6/21/2024,Component,Minor,Manual Testing,65.23,4
197,76,Cosmetic,5/28/2024,Internal,Moderate,Automated Testing,481.7,3
198,28,Cosmetic,4/14/2024,Surface,Minor,Manual Testing,561.27,0
199,75,Structural,1/30/2024,Internal,Moderate,Visual Inspection,169.54,4
200,78,Cosmetic,4/4/2024,Surface,Moderate,Visual Inspection,629.38,0
201,8,Cosmetic,1/4/2024,Surface,Critical,Automated Testing,783.36,6
202,97,Structural,5/25/2024,Surface,Moderate,Automated Testing,102.88,6
203,22,Structural,4/5/2024,Component,Minor,Manual Testing,269.04,4
204,82,Functional,1/20/2024,Surface,Moderate,Visual Inspection,257.33,5
205,17,Structural,5/28/2024,Component,Critical,Automated Testing,824.37,2
206,59,Functional,5/29/2024,Surface,Minor,Manual Testing,303.59,5
207,69,Functional,4/22/2024,Internal,Critical,Automated Testing,793.3,3
208,22,Functional,1/31/2024,Surface,Critical,Manual Testing,929.05,5
209,76,Functional,5/20/2024,Internal,Moderate,Manual Testing,473.36,5
210,59,Functional,1/25/2024,Surface,Minor,Automated Testing,478.17,6
211,61,Structural,3/12/2024,Component,Critical,Manual Testing,430.49,4
212,69,Functional,5/7/2024,Surface,Moderate,Automated Testing,460.93,6
213,75,Cosmetic,1/30/2024,Internal,Moderate,Visual Inspection,917.3,0
214,42,Structural,1/2/2024,Surface,Minor,Manual Testing,520.21,4
215,38,Functional,1/7/2024,Internal,Critical,Manual Testing,575.58,5
216,5,Structural,1/13/2024,Internal,Moderate,Visual Inspection,296.41,4
217,10,Cosmetic,5/28/2024,Surface,Critical,Automated Testing,622.98,6
218,21,Functional,5/10/2024,Internal,Critical,Visual Inspection,484.08,5
219,92,Cosmetic,4/26/2024,Component,Critical,Manual Testing,479.31,0
220,29,Functional,4/5/2024,Surface,Minor,Manual Testing,624.22,5
221,49,Functional,6/11/2024,Component,Critical,Manual Testing,777.18,5
222,28,Functional,2/12/2024,Component,Critical,Automated Testing,842.93,2
223,87,Cosmetic,1/26/2024,Surface,Critical,Manual Testing,974.99,0
224,51,Functional,4/24/2024,Component,Critical,Manual Testing,989.81,5
225,64,Structural,4/23/2024,Component,Moderate,Visual Inspection,484.04,1
226,77,Cosmetic,6/4/2024,Internal,Minor,Automated Testing,38.39,3
227,23,Functional,6/23/2024,Surface,Minor,Visual Inspection,334.53,5
228,89,Functional,2/4/2024,Component,Moderate,Manual Testing,580.74,5
229,30,Functional,3/24/2024,Surface,Critical,Manual Testing,638.28,5
230,88,Structural,1/28/2024,Component,Minor,Manual Testing,727.86,4
231,47,Structural,3/11/2024,Internal,Moderate,Manual Testing,117.74,4
232,74,Functional,5/25/2024,Component,Critical,Automated Testing,891.94,2
233,53,Structural,3/17/2024,Surface,Minor,Visual Inspection,440.58,4
234,39,Structural,2/17/2024,Internal,Minor,Automated Testing,310.96,3
235,4,Cosmetic,1/28/2024,Internal,Critical,Manual Testing,430.74,0
236,29,Cosmetic,5/5/2024,Surface,Minor,Automated Testing,47.99,6
237,31,Cosmetic,6/30/2024,Component,Moderate,Visual Inspection,728.13,1
238,75,Structural,2/6/2024,Component,Critical,Visual Inspection,890.35,1
239,88,Functional,3/12/2024,Surface,Minor,Manual Testing,356.55,5
240,14,Structural,5/4/2024,Internal,Moderate,Visual Inspection,271.51,4
241,80,Structural,3/19/2024,Surface,Minor,Manual Testing,288.31,4
242,13,Functional,2/8/2024,Component,Critical,Automated Testing,663.49,2
243,5,Functional,6/18/2024,Internal,Moderate,Manual Testing,711.77,5
244,67,Structural,6/4/2024,Surface,Moderate,Visual Inspection,822.12,4
245,35,Cosmetic,5/27/2024,Component,Critical,Visual Inspection,889.52,1
246,81,Structural,3/30/2024,Surface,Minor,Automated Testing,471.55,6
247,24,Cosmetic,4/22/2024,Internal,Critical,Automated Testing,136.69,3
248,65,Structural,3/27/2024,Component,Minor,Automated Testing,148.61,2
249,13,Structural,5/16/2024,Surface,Moderate,Manual Testing,768.39,4
250,65,Cosmetic,6/7/2024,Component,Moderate,Manual Testing,545.52,0
251,33,Structural,1/29/2024,Component,Moderate,Automated Testing,978.58,2
252,92,Cosmetic,5/16/2024,Internal,Critical,Visual Inspection,62.59,0
253,25,Functional,5/1/2024,Component,Minor,Automated Testing,146.53,2
254,33,Functional,5/2/2024,Surface,Minor,Automated Testing,168.3,6
255,63,Cosmetic,1/2/2024,Internal,Critical,Manual Testing,225.2,0
256,23,Structural,6/18/2024,Surface,Minor,Manual Testing,875.37,4
257,47,Structural,6/3/2024,Surface,Minor,Manual Testing,772.77,4
258,78,Structural,5/7/2024,Component,Minor,Automated Testing,617.12,2
259,74,Functional,3/20/2024,Surface,Moderate,Manual Testing,900.61,5
260,70,Structural,3/3/2024,Surface,Minor,Manual Testing,159.25,4
261,59,Functional,3/2/2024,Internal,Minor,Manual Testing,16.62,5
262,77,Functional,2/25/2024,Surface,Minor,Automated Testing,906.96,6
263,96,Functional,5/3/2024,Internal,Minor,Manual Testing,446.61,5
264,39,Structural,1/29/2024,Surface,Minor,Manual Testing,406.06,4
265,54,Structural,6/8/2024,Component,Minor,Automated Testing,286.25,2
266,74,Structural,6/22/2024,Surface,Critical,Manual Testing,319.6,4
267,57,Functional,6/4/2024,Surface,Moderate,Manual Testing,798.16,5
268,48,Functional,1/5/2024,Component,Critical,Manual Testing,674.23,5
269,99,Cosmetic,3/9/2024,Component,Minor,Manual Testing,940.48,0
270,71,Functional,4/5/2024,Internal,Critical,Visual Inspection,42.63,5
271,37,Cosmetic,6/26/2024,Surface,Critical,Automated Testing,433.02,6
272,65,Structural,4/9/2024,Internal,Minor,Manual Testing,606.91,4
273,94,Structural,6/15/2024,Surface,Moderate,Automated Testing,129.41,6
274,83,Cosmetic,2/5/2024,Surface,Critical,Manual Testing,444.1,0
275,71,Functional,5/29/2024,Surface,Moderate,Manual Testing,634.26,5
276,46,Cosmetic,1/13/2024,Surface,Moderate,Manual Testing,672.89,0
277,56,Functional,5/22/2024,Internal,Minor,Visual Inspection,557.67,5
278,34,Functional,6/22/2024,Internal,Minor,Manual Testing,272.53,5
279,19,Structural,2/17/2024,Internal,Minor,Visual Inspection,503.24,4
280,27,Functional,4/23/2024,Surface,Critical,Visual Inspection,611.37,5
281,69,Cosmetic,1/24/2024,Surface,Minor,Visual Inspection,501.54,0
282,90,Structural,5/20/2024,Surface,Minor,Manual Testing,290.23,4
283,63,Cosmetic,1/30/2024,Internal,Moderate,Manual Testing,195.84,0
284,86,Structural,4/9/2024,Internal,Moderate,Visual Inspection,88.05,4
285,82,Structural,5/17/2024,Surface,Critical,Manual Testing,97.99,4
286,65,Structural,6/19/2024,Internal,Critical,Visual Inspection,349.24,4
287,14,Structural,1/31/2024,Internal,Critical,Manual Testing,421.51,4
288,48,Structural,5/26/2024,Internal,Critical,Manual Testing,422.77,4
289,61,Structural,2/7/2024,Internal,Minor,Automated Testing,925.03,3
290,35,Structural,2/27/2024,Internal,Minor,Automated Testing,319.58,3
291,67,Functional,4/22/2024,Surface,Moderate,Automated Testing,556.42,6
292,16,Structural,2/4/2024,Surface,Minor,Automated Testing,818.54,6
293,44,Structural,1/2/2024,Internal,Moderate,Automated Testing,320.62,3
294,80,Cosmetic,3/31/2024,Internal,Moderate,Manual Testing,178.82,0
295,83,Structural,2/29/2024,Surface,Critical,Manual Testing,237.65,4
296,93,Structural,3/14/2024,Component,Moderate,Manual Testing,658.16,4
297,43,Structural,1/23/2024,Surface,Minor,Visual Inspection,326.58,4
298,87,Cosmetic,2/14/2024,Surface,Minor,Manual Testing,301.61,0
299,56,Cosmetic,5/26/2024,Surface,Minor,Visual Inspection,357.56,0
300,3,Functional,4/26/2024,Internal,Critical,Manual Testing,358.21,5
301,22,Structural,5/3/2024,Surface,Moderate,Manual Testing,89.91,4
302,85,Cosmetic,5/6/2024,Internal,Minor,Automated Testing,18.42,3
303,80,Functional,4/25/2024,Component,Moderate,Visual Inspection,294.31,1
304,17,Functional,4/24/2024,Internal,Minor,Visual Inspection,865.96,5
305,35,Cosmetic,6/12/2024,Component,Minor,Visual Inspection,578.28,1
306,39,Structural,2/13/2024,Surface,Critical,Visual Inspection,495.87,4
307,30,Functional,6/19/2024,Component,Minor,Visual Inspection,728.39,1
308,47,Cosmetic,1/8/2024,Component,Minor,Manual Testing,949.72,0
309,24,Structural,3/23/2024,Component,Moderate,Manual Testing,56.12,4
310,76,Structural,5/26/2024,Component,Moderate,Automated Testing,56.35,2
311,38,Structural,4/8/2024,Internal,Minor,Manual Testing,651.35,4
312,47,Cosmetic,2/23/2024,Component,Minor,Manual Testing,471.27,0
313,82,Cosmetic,5/29/2024,Surface,Moderate,Visual Inspection,732.6,0
314,36,Cosmetic,2/19/2024,Component,Minor,Automated Testing,865.3,2
315,40,Functional,1/15/2024,Internal,Minor,Automated Testing,49.2,3
316,28,Cosmetic,6/9/2024,Surface,Critical,Manual Testing,567.72,0
317,31,Cosmetic,1/9/2024,Surface,Moderate,Visual Inspection,490.53,0
318,34,Functional,3/3/2024,Component,Minor,Manual Testing,11.38,5
319,56,Functional,2/23/2024,Component,Moderate,Visual Inspection,409.72,1
320,45,Functional,1/5/2024,Component,Minor,Visual Inspection,515.07,1
321,32,Structural,6/6/2024,Component,Moderate,Visual Inspection,42.44,1
322,54,Functional,5/30/2024,Internal,Critical,Automated Testing,883.58,3
323,44,Structural,6/8/2024,Internal,Minor,Automated Testing,624.98,3
324,97,Functional,4/6/2024,Component,Minor,Manual Testing,195.74,5
325,15,Functional,4/15/2024,Internal,Moderate,Manual Testing,241.22,5
326,97,Cosmetic,4/29/2024,Component,Minor,Manual Testing,441.18,0
327,17,Structural,4/1/2024,Component,Critical,Manual Testing,274.09,4
328,91,Functional,6/8/2024,Surface,Moderate,Visual Inspection,268.52,5
329,92,Structural,1/2/2024,Component,Critical,Automated Testing,170.44,2
330,72,Functional,3/1/2024,Component,Moderate,Automated Testing,386.43,2
331,74,Functional,3/1/2024,Surface,Minor,Manual Testing,970.98,5
332,7,Functional,5/16/2024,Component,Minor,Automated Testing,751.73,2
333,24,Functional,4/22/2024,Component,Minor,Automated Testing,285.85,2
